Web Search interest: explosion
San Francisco-Oakland-San Jose CA (United States) Los Angeles CA (United States) San Diego CA (United States) New York NY (United States)
Jan 2009 - Jan 2012

Interest over time
Week,San Francisco-Oakland-San Jose CA,Los Angeles CA,San Diego CA,New York NY
mine explosion,10
san bruno explosion,10
middletown explosion,10
oslo,5
oslo explosion,5
sun explosion,5
allentown explosion,5
explosion sound effect,5
norway explosion,5
puerto rico explosion,5
space shuttle explosion,5
connecticut explosion,5
natural gas explosion,5
middletown ct explosion,5
dust explosion,5
iran explosion,5
nathan explosion,5
halifax explosion,5
columbia explosion,5
explosion gif,5
staten island explosion,5
refinery explosion,5
moon explosion,5
the challenger explosion,5
transformer explosion,5
brentwood explosion,5



Rising searches for San Francisco-Oakland-San Jose CA
bacon explosion,Breakout
explosion san bruno,Breakout
san bruno,Breakout
san bruno fire,Breakout
oil rig explosion,+2,150%
nuclear explosion japan,+1,750%
explosion habana,+150%
challenger explosion,+140%
gas explosion,+130%
sf explosion,+60%

Rising searches for Los Angeles CA
oil rig explosion,Breakout
san bruno explosion,Breakout
bacon explosion,+4,250%
nuclear explosion japan,+2,800%
japan explosion,+1,600%
challenger explosion,+200%
challenger,+170%
gas explosion,+130%
explosion los angeles,+70%
nuclear explosion,+70%

Rising searches for San Diego CA
bacon explosion,Breakout
oil rig explosion,Breakout
san bruno explosion,Breakout
japan nuclear explosion,+350%
challenger explosion,+120%
nuclear explosion,+80%

Rising searches for New York NY
bacon explosion,Breakout
oil rig explosion,Breakout
punch time explosion,Breakout
rig explosion,Breakout
japan explosion,+900%
oil explosion,+550%
challenger explosion,+130%
challenger,+110%
gas explosion,+70%
house explosion,+70%



